vectorLength,library,initialisation,euclidean,cosine
1,seal,1159329,796644,2360877
1,helib,23423508,475085,1731952
1,seal,1138167,775611,2346196
1,helib,23089768,450604,1722071
1,seal,1145354,773660,2351092
1,helib,22599771,462833,1730314
1,seal,1134513,770551,2351606
1,helib,22568552,453750,1711873
1,seal,1139863,783080,2337245
1,helib,22506378,455543,1726203
1,seal,1133735,773388,2343651
1,helib,22547800,453497,1731922
1,seal,1133013,776646,2336120
1,helib,22503234,452545,1728290
1,seal,1133919,778593,2339565
1,helib,22533439,447216,1704894
1,seal,1142163,769941,2352747
1,helib,22555782,456058,1739397
1,seal,1142154,769156,2346337
1,helib,22560176,460233,1740250
2,seal,1136385,1465289,4401082
2,helib,22602796,727920,2774715
2,seal,1132863,1456079,4420788
2,helib,22563198,725859,2759433
2,seal,1137932,1468194,4404144
2,helib,22574674,724410,2741729
2,seal,1132159,1463730,4423273
2,helib,22565037,726662,2748723
2,seal,1137558,1473503,4417433
2,helib,22588812,721680,2754406
2,seal,1135323,1465550,4415002
2,helib,22540778,725835,2761343
2,seal,1138262,1470257,4430267
2,helib,22571246,729993,2728849
2,seal,1136705,1465550,4420177
2,helib,22585666,734537,2761145
2,seal,1139639,1462355,4421042
2,helib,22567393,732985,2767543
2,seal,1135580,1465615,4425595
2,helib,22601765,727041,2748471
7,seal,1135225,4911710,14742588
7,helib,22598331,2119696,7906688
7,seal,1132405,4924252,14763424
7,helib,22608080,2106757,7905309
7,seal,1150024,4917895,14797273
7,helib,22625470,2101348,7931282
7,seal,1138998,4946292,14776860
7,helib,22553495,2102729,7869389
7,seal,1134015,4904160,14777484
7,helib,22542219,2095846,7844941
7,seal,1137840,4917488,14767903
7,helib,22516577,2105600,7898006
7,seal,1134371,4909356,14730151
7,helib,22534406,2093805,7862341
7,seal,1137409,4902612,14733545
7,helib,22536748,2086234,7876464
7,seal,1136139,4921820,14742445
7,helib,22514464,2094129,7900920
7,seal,1136930,4919715,14738764
7,helib,22536575,2088972,7851329
20,seal,1142480,13868498,41542263
20,helib,22375124,5628944,21253732
20,seal,1136026,13892726,41585468
20,helib,22503973,5661242,21260289
20,seal,1140975,13876461,41603518
20,helib,22529949,5684538,21337353
20,seal,1134463,13903654,41670743
20,helib,22600070,5693391,21341254
20,seal,1140325,13906085,41664439
20,helib,22567005,5706853,21326851
20,seal,1136485,13907288,41613383
20,helib,22561191,5685870,21332358
20,seal,1133973,13870816,41584541
20,helib,22475491,5696552,21258876
20,seal,1129444,13848828,41494293
20,helib,22878299,5689531,21292674
20,seal,1136510,13851781,41379884
20,helib,22441094,5654115,21260657
20,seal,1136026,13862070,41481688
20,helib,22403921,5652225,21172853
54,seal,1129941,37160799,111798545
54,helib,22538851,15008232,56174914
54,seal,1136732,37332631,111646708
54,helib,22507790,14938966,55913952
54,seal,1143623,37335073,111633191
54,helib,22532635,14899244,55989032
54,seal,1138801,37306028,111745428
54,helib,22447990,14984451,56098221
54,seal,1143771,37335903,111808846
54,helib,22489965,14956649,56007446
54,seal,1136665,37293101,111821585
54,helib,22503673,15204849,57009904
54,seal,1132000,37308363,111733386
54,helib,22521910,14950948,55978917
54,seal,1137419,37288470,111960162
54,helib,22494949,14968723,55953691
54,seal,1134803,37294341,111752850
54,helib,22553588,14971641,56052651
54,seal,1136956,37294229,111861543
54,helib,22595629,15023066,56200515
148,seal,1130697,102299613,305983684
148,helib,22525631,41138281,153218308
148,seal,1137558,102436942,306424175
148,helib,22621454,41105841,154123842
148,seal,1136209,102119695,306606788
148,helib,22575184,40986371,153545405
148,seal,1130477,102137194,306502534
148,helib,22550588,41047586,153851060
148,seal,1140077,102480855,306410219
148,helib,22637125,41054098,153724734
148,seal,1137589,102269751,306126839
148,helib,22560404,41094920,157143391
148,seal,1138004,102034974,306350674
148,helib,22561367,41073545,153806940
148,seal,1138806,101957099,305893819
148,helib,22549460,41030109,153612921
148,seal,1133070,102363219,306430775
148,helib,22559641,40993911,153403079
148,seal,1135574,102382444,306312552
148,helib,22580086,41038425,153636002
403,seal,1133126,278699927,833256750
403,helib,22551811,111061523,415989901
403,seal,1136951,278757567,832549090
403,helib,22640044,110795487,416273342
403,seal,1142765,278256552,832392461
403,helib,22586467,110710775,417243556
403,seal,1141258,278398901,833812132
403,helib,22576305,110991810,415959237
403,seal,1137149,278295758,834360240
403,helib,22587938,110839735,416688829
403,seal,1133582,279199312,832972876
403,helib,22512885,111139286,414541168
403,seal,1128528,277350214,830512218
403,helib,22588166,111010193,416357440
403,seal,1142129,278498912,834715923
403,helib,23001289,110742956,417728365
403,seal,1137583,278134949,833561634
403,helib,22575644,110814466,413659239
403,seal,1127694,278273739,834205509
403,helib,22566817,110856955,415762881
