vectorLength,library,initialisation,euclidean,cosine
1,seal,81838,24496,68006
1,helib,2379071,52124,186681
1,seal,84982,22399,62984
1,helib,2522610,48937,188396
1,seal,98107,19544,66347
1,helib,2368382,53089,185585
1,seal,99832,20221,60788
1,helib,2998458,74948,307461
1,seal,159829,30170,85077
1,helib,2736385,45832,196671
1,seal,97751,22406,60838
1,helib,2465901,55970,203607
1,seal,98795,24354,70696
1,helib,2552805,44194,176782
1,seal,95861,21475,58626
1,helib,2509546,55346,176719
1,seal,98171,24261,66658
1,helib,2591774,61042,208941
1,seal,103740,23777,63659
1,helib,2989764,50437,175151
2,seal,85860,39275,117332
2,helib,2484013,70079,269231
2,seal,75287,41686,117250
2,helib,2334378,82860,253520
2,seal,75964,36894,120375
2,helib,2482516,93695,272356
2,seal,72434,36452,129225
2,helib,2665933,94942,291130
2,seal,71307,36418,129212
2,helib,2375814,69328,285419
2,seal,91060,42880,118362
2,helib,2396485,78827,278652
2,seal,83387,40329,111372
2,helib,2372580,91207,255736
2,seal,88130,40911,130014
2,helib,2649901,91673,264925
2,seal,94121,36538,108837
2,helib,2402995,82212,274307
2,seal,78142,38992,104783
2,helib,2429404,82472,254306
7,seal,104072,122033,332863
7,helib,2349440,196809,705406
7,seal,93341,114243,337683
7,helib,2359240,211624,694462
7,seal,84337,129380,340268
7,helib,2402751,203411,709450
7,seal,72278,147047,376782
7,helib,2502151,207299,920846
7,seal,82000,124345,343006
7,helib,2444377,205608,696038
7,seal,79595,121376,326481
7,helib,2465705,197953,678494
7,seal,95751,136447,337887
7,helib,2358461,205961,750611
7,seal,94393,117084,332837
7,helib,2344811,209065,843142
7,seal,119483,164628,363543
7,helib,2639096,202555,697052
7,seal,78241,114216,366539
7,helib,2372493,197711,715158
20,seal,71570,309597,924291
20,helib,2349371,513988,1865631
20,seal,71115,301003,942783
20,helib,2348711,522458,1894041
20,seal,78692,311404,897427
20,helib,2358652,555027,1865534
20,seal,79759,307477,936864
20,helib,2411469,534429,1966318
20,seal,84027,332527,883567
20,helib,2365199,510968,1843137
20,seal,97635,305221,906926
20,helib,2391859,530706,1848947
20,seal,96922,318309,893206
20,helib,2350676,525805,1827877
20,seal,77992,304309,914048
20,helib,2358368,685405,2146675
20,seal,81765,305007,897109
20,helib,2383014,548004,1845292
20,seal,82992,326873,943660
20,helib,2321453,515864,1850964
54,seal,97277,793372,2423654
54,helib,2363725,1347727,4889032
54,seal,80236,792126,2412653
54,helib,2336881,1327518,4893278
54,seal,70153,793176,2393943
54,helib,2336209,1350661,4950698
54,seal,76785,804598,2389615
54,helib,2380921,1315492,4864757
54,seal,93599,794938,2448643
54,helib,2383138,1350214,4969339
54,seal,74615,818044,2363355
54,helib,2405197,1376124,4850769
54,seal,72790,785123,2406212
54,helib,2328822,1320776,4843759
54,seal,79465,811439,2415189
54,helib,2326824,1384590,4828101
54,seal,72905,807295,2377418
54,helib,2347735,1288832,4897578
54,seal,72845,797486,2393169
54,helib,2328657,1334706,4918200
148,seal,100631,2197096,6479869
148,helib,2415258,3688540,13265167
148,seal,73126,2197736,6574499
148,helib,2385944,3682467,14025096
148,seal,98358,2156164,6487187
148,helib,2353954,3688800,13329292
148,seal,99233,2155888,6524900
148,helib,2331052,3588730,13496604
148,seal,70324,2132729,6731489
148,helib,2278116,3574937,13115765
148,seal,67664,2136714,6442717
148,helib,2309847,3616667,13243837
148,seal,67887,2135431,6423708
148,helib,2267856,3545708,13204294
148,seal,68126,2146845,6531335
148,helib,2337038,3542948,13196279
148,seal,68508,2144487,6434426
148,helib,2306818,3638393,13228458
148,seal,68151,2170442,6471073
148,helib,2292623,3564398,13109859
