vectorLength,library,initialisation,euclidean,cosine
1,seal,146689,44732,128364
1,helib,2365648,43787,154493
1,seal,88260,45036,126618
1,helib,2321527,38893,147225
1,seal,88770,42087,127182
1,helib,2321935,38319,144971
1,seal,92335,42074,136964
1,helib,2316799,41687,156800
1,seal,88658,41539,126319
1,helib,2339457,44326,178462
1,seal,97929,45733,145736
1,helib,2340368,38675,160846
1,seal,88861,41389,125149
1,helib,2378171,39271,166640
1,seal,89336,41523,125266
1,helib,2332009,39292,160448
1,seal,88326,42941,129180
1,helib,2313975,38697,160211
1,seal,88476,41991,125263
1,helib,2317545,38583,149928
2,seal,89142,80823,250102
2,helib,2397535,63205,236865
2,seal,88929,80732,243134
2,helib,2314447,61844,234922
2,seal,88331,81227,243012
2,helib,2315040,62081,240388
2,seal,89966,82526,252808
2,helib,2335853,61638,235874
2,seal,88175,81289,246204
2,helib,2319317,61640,233166
2,seal,89064,81913,242228
2,helib,2333412,62991,238955
2,seal,87860,81052,243318
2,helib,2425397,62364,247564
2,seal,88159,81338,242393
2,helib,2320373,61876,250392
2,seal,88611,82427,244512
2,helib,2310496,61526,250960
2,seal,87994,81167,246348
2,helib,2317401,61822,251623
7,seal,88835,278645,837967
7,helib,2317681,179381,685569
7,seal,89945,282335,839019
7,helib,2305261,179565,676913
7,seal,87476,279766,836207
7,helib,2318789,181609,677268
7,seal,88481,285795,844126
7,helib,2311736,178407,683863
7,seal,87654,277074,841532
7,helib,2312879,178596,681387
7,seal,87887,282431,838621
7,helib,2312205,180372,681929
7,seal,87785,279820,840231
7,helib,2313876,184386,675104
7,seal,88615,278606,836741
7,helib,2317382,179234,683605
7,seal,89669,277091,842971
7,helib,2316730,179318,680304
7,seal,88661,279673,834308
7,helib,2321355,182247,677125
20,seal,89958,794485,2385121
20,helib,2313704,484006,1807496
20,seal,87878,799839,2388328
20,helib,2313131,490127,1811448
20,seal,88484,797286,2388547
20,helib,2319493,482944,1793140
20,seal,89001,790567,2389756
20,helib,2310301,487000,1797655
20,seal,88435,790039,2384474
20,helib,2316886,485736,1793923
20,seal,88286,796497,2378210
20,helib,2310469,490197,1791816
20,seal,88501,796391,2404910
20,helib,2523755,484862,1805978
20,seal,88235,793714,2386739
20,helib,2317575,484789,1799760
20,seal,88921,796776,2382080
20,helib,2314019,485364,1786007
20,seal,88225,795906,2392610
20,helib,2312296,489010,1793800
54,seal,88164,2172650,6421157
54,helib,2311997,1287489,4715519
54,seal,88658,2139775,6447360
54,helib,2316409,1283674,4734602
54,seal,87728,2145363,6421638
54,helib,2306340,1286254,4712268
54,seal,87842,2142593,6553869
54,helib,2340266,1298553,4709402
54,seal,87937,2135789,6417721
54,helib,2314795,1281775,4718936
54,seal,88313,2140134,6404475
54,helib,2313639,1280136,4722174
54,seal,88244,2135245,6417287
54,helib,2305839,1280641,4728388
54,seal,88072,2140931,6408456
54,helib,2302343,1285988,4711834
54,seal,88945,2137536,6428259
54,helib,2324857,1276794,4702148
54,seal,90414,2142408,6421280
54,helib,2313681,1278342,4725495
148,seal,90264,5884027,17611514
148,helib,2317861,3555124,12933947
148,seal,88421,5882691,17644340
148,helib,2305680,3527114,12909501
148,seal,87998,5871963,17623987
148,helib,2313032,3507827,12901801
148,seal,88210,5861639,17605679
148,helib,2311954,3513223,12941433
148,seal,87670,5893626,17579600
148,helib,2300523,3537021,12940446
148,seal,88573,5865424,17695070
148,helib,2315564,3530011,12914873
148,seal,91749,5858479,17607362
148,helib,2310844,3503372,12944178
148,seal,87977,5848032,17629977
148,helib,2316168,3529147,13108780
148,seal,101371,7883111,24168499
148,helib,3363408,5224697,18456046
148,seal,111919,7399854,22243781
148,helib,3022971,4298863,16172869
403,seal,98445,20128989,59509033
403,helib,2868888,12072286,43688692
403,seal,87904,19814182,59179941
403,helib,3099231,12000415,44697271
403,seal,123691,20046587,60901114
403,helib,3208584,12212628,44891180
403,seal,114444,20349089,60804501
403,helib,3104553,12025157,39431435
403,seal,88232,16059332,51863620
403,helib,2307802,9495956,34934098
403,seal,89522,15996753,47889448
403,helib,2310312,9492180,34872479
403,seal,88532,15956282,47929380
403,helib,2323449,9491592,34986465
403,seal,87924,16035985,48114258
403,helib,2305279,9476106,34929183
403,seal,89948,16013600,48024292
403,helib,2340561,9542985,34874804
403,seal,89688,16028501,48296845
403,helib,2318898,9490764,34935687
1096,seal,88575,43664082,130267310
1096,helib,2319300,26692781,97531413
1096,seal,88990,43565531,130447733
1096,helib,2317323,26526359,98198481
1096,seal,143829,43591025,130978996
1096,helib,2313511,27408296,97473147
1096,seal,88259,43832281,130405007
1096,helib,2314228,26466969,97516891
1096,seal,88612,43805234,130490976
1096,helib,2318909,26367332,97883199
1096,seal,88560,43554367,130885742
1096,helib,2287803,26442572,97830304
1096,seal,88202,43597008,130131469
1096,helib,2311448,26479625,98010375
1096,seal,88778,43738594,130852407
1096,helib,2308242,26310975,97600262
1096,seal,89360,43481278,130679595
1096,helib,2306267,26429539,97698529
1096,seal,89610,43984756,130690933
1096,helib,2316327,26325109,97639853
2980,seal,89641,118099238,353713620
2980,helib,2314885,71893915,265086355
2980,seal,88560,118423542,354441082
2980,helib,2324939,72291543,265227336
2980,seal,88694,118212127,356144783
2980,helib,2318719,72375163,268186641
2980,seal,88918,118813544,355902903
2980,helib,2312558,71460510,264950237
2980,seal,88652,118295134,356925908
2980,helib,2326339,71891386,265142771
2980,seal,88647,118475082,354508073
2980,helib,2309535,71708839,263972063
2980,seal,89399,118935126,355775991
2980,helib,2309300,71690347,263941380
2980,seal,88485,118198968,356014655
2980,helib,2309682,72724326,265419371
2980,seal,88213,118026938,355616148
2980,helib,2322193,71665938,265575254
2980,seal,88944,118223600,355302177
2980,helib,2311085,71819894,264889753
8103,seal,88671,322448634,965873677
8103,helib,2313836,195896076,723596634
8103,seal,88936,321387630,963736918
8103,helib,2316765,193996947,724446224
8103,seal,89370,321881101,969063127
8103,helib,2326719,192692085,716102197
8103,seal,88131,323536654,971996017
8103,helib,2310960,192977829,716421634
8103,seal,88649,323699982,970432581
8103,helib,2308994,194229346,718545007
8103,seal,90292,323873136,967970044
8103,helib,2324217,193458064,714611634
8103,seal,88278,321371878,965450773
8103,helib,2312585,192463365,712132917
8103,seal,88119,321260562,965182625
8103,helib,2313797,192501321,715975044
8103,seal,88956,322310063,963256930
8103,helib,2311063,193339091,718815634
8103,seal,88508,321526747,963006252
8103,helib,2309162,192871499,715944653
