vectorLength,library,initialisation,euclidean,cosine
1,seal,151531,46784,126419
1,helib,2344328,43840,154248
1,seal,88668,41616,125621
1,helib,2309589,38559,151575
1,seal,91325,41587,126249
1,helib,2319166,39689,162103
1,seal,93702,45586,131531
1,helib,2347083,38979,149031
1,seal,90765,41501,124168
1,helib,2308846,38507,146004
1,seal,88971,41572,124830
1,helib,2312628,39111,161227
1,seal,89568,44722,124815
1,helib,2310438,38774,149944
1,seal,88898,44015,126079
1,helib,2320051,39037,162999
1,seal,90002,41514,124626
1,helib,2314904,39134,152237
1,seal,89466,42787,125651
1,helib,2326117,39027,160603
2,seal,88712,81564,244346
2,helib,2311587,62493,239496
2,seal,87570,81254,244495
2,helib,2309871,62474,237033
2,seal,87438,81326,242662
2,helib,2380124,62358,242170
2,seal,87264,80585,242288
2,helib,2450915,62147,240255
2,seal,87310,81428,242626
2,helib,2314077,61512,238377
2,seal,87592,81651,250899
2,helib,2322450,64580,246316
2,seal,92833,90960,248929
2,helib,2489068,64239,239278
2,seal,87410,80529,248996
2,helib,2321134,62056,246393
2,seal,92500,81872,244920
2,helib,2314762,62354,245973
2,seal,87533,81273,245586
2,helib,2310952,62519,245422
7,seal,88701,279757,845263
7,helib,2310480,183163,678912
7,seal,87892,277498,837037
7,helib,2313826,179786,670680
7,seal,87586,278610,836931
7,helib,2312514,178405,665684
7,seal,88200,276941,847012
7,helib,2302675,180995,679395
7,seal,91259,279757,839662
7,helib,2319451,180603,677746
7,seal,89642,298462,838144
7,helib,2320734,180574,676760
7,seal,88710,278976,841300
7,helib,2316981,179695,680347
7,seal,88040,277190,836853
7,helib,2310407,187407,674377
7,seal,88337,282780,834720
7,helib,2311770,178293,676303
7,seal,89356,277607,837126
7,helib,2313310,179787,677554
20,seal,87432,797952,2376630
20,helib,2308380,489401,1809077
20,seal,90493,792515,2382345
20,helib,2298332,487717,1800833
20,seal,87692,792871,2393749
20,helib,2301297,485773,1810284
20,seal,87389,789913,2377498
20,helib,2301017,488330,1800297
20,seal,90183,786139,2371244
20,helib,2301285,492068,2150552
20,seal,87478,789027,2396759
20,helib,2309375,493669,1801447
20,seal,87806,792936,2387058
20,helib,2317061,485746,1797633
20,seal,88111,796647,2400855
20,helib,2305688,484588,1811481
20,seal,88006,795123,2375202
20,helib,2311656,485999,1785565
20,seal,87813,792387,2388078
20,helib,2307688,485736,1806270
54,seal,88830,2132586,6445117
54,helib,2310650,1289264,4716141
54,seal,88037,2137289,6527004
54,helib,2305964,1279705,4703073
54,seal,88310,2137391,6438587
54,helib,2311350,1287640,4743518
54,seal,88468,2134600,6459262
54,helib,2306151,1290105,4751712
54,seal,89538,2140484,6466110
54,helib,2308284,1289075,4723364
54,seal,88253,2140539,6411082
54,helib,2312077,1281166,4697954
54,seal,87713,2126543,6428651
54,helib,2305390,1289706,4782772
54,seal,87891,2127237,6414310
54,helib,2302756,1271743,4743587
54,seal,89869,2143935,6416744
54,helib,2301103,1277900,4716215
54,seal,87761,2136601,6411586
54,helib,2299284,1276232,4716499
148,seal,87602,5848435,17571588
148,helib,2300828,3549351,12862949
148,seal,88038,5824018,17576352
148,helib,2301311,3519591,12879643
148,seal,87461,5819032,17479141
148,helib,2324332,3499791,12996960
148,seal,87686,5840928,17887230
148,helib,2385033,3534701,12838441
148,seal,87914,5826714,17617001
148,helib,2304531,3524681,12920120
148,seal,88100,5856149,17585244
148,helib,2311476,3511252,12931308
148,seal,90824,5847925,17572643
148,helib,2302982,3518196,12941892
148,seal,88172,5845063,17632311
148,helib,2306970,3509146,12918191
148,seal,88249,5840026,17575685
148,helib,2309618,3535917,13022440
148,seal,87631,5846388,17691259
148,helib,2302978,3519029,12886386
403,seal,87791,15980618,48040385
403,helib,2318068,9608794,39473434
403,seal,123941,22790312,59619484
403,helib,2348632,9522173,35732400
403,seal,88000,15883981,48009140
403,helib,2312701,9463233,34896381
403,seal,87795,16197384,48435754
403,helib,2302869,9464922,34921637
403,seal,87484,15894577,48155353
