vectorLength,library,initialisation,euclidean,cosine
1550,helib,22607477,430610535,1617895704
1550,helib,22371847,430434470,1614570716
1550,helib,22405086,429066855,1619172560
1550,helib,22540565,429721893,1616410578
1550,helib,22441390,428638909,1619152576
1550,helib,22361350,426833666,1604901066
1550,helib,22260520,425849861,1601712814
1550,helib,22345837,426631618,1604716993
1550,helib,22324410,428048771,1605837061
1550,helib,22277258,427186581,1605067308
1600,helib,22299455,441275096,1661808835
1600,helib,22294267,440349908,1655912200
1600,helib,22301640,440254530,1657822868
1600,helib,22278469,440142604,1655703952
1600,helib,22298694,440136252,1655378300
1600,helib,22288748,441615787,1655501361
1600,helib,22304794,440164154,1659438404
1600,helib,22300443,442499222,1656970545
1600,helib,22314227,440385126,1656627471
1600,helib,22324403,443889311,1669311340
1650,helib,22267095,454100104,1709144785
1650,helib,22280811,454835438,1715578942
1650,helib,22293905,454227140,1711033143
1650,helib,22269198,454895815,1709549392
1650,helib,22286316,453550501,1707044787
1650,helib,22287266,453255275,1705977359
1650,helib,22328169,453409899,1704956686
1650,helib,22342141,453917297,1711225616
1650,helib,22274415,454203231,1710407511
1650,helib,22308354,454673474,1709809571
1700,helib,22297345,468498162,1762016162
1700,helib,22287990,468633588,1760844365
1700,helib,22298350,468478961,1760189362
1700,helib,22287808,466509900,1755363964
1700,helib,22293404,468951179,1769508709
1700,helib,22395295,469557157,1760578469
1700,helib,22269235,467714501,1759158607
1700,helib,22291213,467706934,1758855210
1700,helib,22298629,468586137,1762348780
1700,helib,22293457,468944306,1758433979
1750,helib,22289628,482998163,1808668187
1750,helib,22280627,481476029,1814201903
1750,helib,22280381,1272902067,1880845071
1750,helib,22292660,481553028,1811910128
1750,helib,22274096,481119603,1809592242
1750,helib,22278848,485702219,1809310542
1750,helib,22262031,480539610,1807459687
1750,helib,22287448,482162122,1808973722
1750,helib,22281489,482102399,1809757089
1750,helib,22293683,481096820,1811225852
1800,helib,22300455,495411574,1866651436
1800,helib,22287361,493416755,1858159887
1800,helib,22276983,494374325,1860727427
1800,helib,22312747,494346954,1862291608
1800,helib,22266317,494152348,1858968474
1800,helib,22303124,495757758,1861618279
1800,helib,22260341,494281430,1858341904
1800,helib,22265626,496841328,1858068010
1800,helib,22306920,494219087,1858102733
1800,helib,22296656,493767682,1876490468
1850,helib,22272046,511517115,1912309943
1850,helib,22275656,507280982,1910161232
1850,helib,22281424,509424641,1917592604
1850,helib,22282575,508067670,1910646829
1850,helib,22327694,511321325,1913999297
1850,helib,22273956,508305588,1913195431
1850,helib,22359677,508327283,2667064747
