vectorLength,library,initialisation,euclidean,cosine
2,seal,1149818,1472969,4380743
2,helib,22442084,745014,2720537
2,seal,1126350,1450037,4388840
2,helib,22312679,715057,2699434
2,seal,1127191,1450367,4380802
2,helib,22317263,721005,2725726
2,seal,1126898,1450027,4373379
2,helib,22299047,721741,2732947
2,seal,1128016,1451340,4364361
2,helib,22302263,722995,2731051
2,seal,1127708,1446988,4370118
2,helib,22294097,720545,2718378
2,seal,1128736,1448554,4382191
2,helib,22310000,722755,2727512
2,seal,1125958,1450123,4371499
2,helib,22320275,720508,2722661
2,seal,1126747,1454993,4382937
2,helib,22318737,723331,2726146
2,seal,1125907,1452019,4374127
2,helib,22310719,720838,2728734
