vectorLength,library,initialisation,euclidean,cosine
550,seal,1153102,380976938,1134977007
550,seal,1131194,379327823,1134677678
550,seal,1136783,379189912,1134577212
550,seal,1132436,379063297,1134279084
550,seal,1130337,379033605,1134908552
550,seal,1132770,379192610,1134760252
550,seal,1134098,378893409,1137563849
550,seal,1132051,378890780,1133927800
550,seal,1134534,378958558,1134069872
550,seal,1131186,379208515,1134633273
600,seal,1130805,414538800,1237429200
600,seal,1140624,414275563,1239119986
600,seal,1137194,414612574,1236584844
600,seal,1131544,414770774,1239302281
600,seal,1135301,413128837,1238083789
600,seal,1132083,415532581,1237782268
600,seal,1129750,413887590,1238975204
600,seal,1130121,413367173,1237606211
600,seal,1133271,413866302,1237773263
600,seal,1135327,413866423,1237678046
650,seal,1133635,448654325,1340083339
650,seal,1133149,448269065,1340000477
650,seal,1134762,447963797,1338430816
650,seal,1131669,448328852,1338436821
650,seal,1133095,448481746,1340439520
650,seal,1132806,448066169,1339518532
650,seal,1127170,448280441,1339636224
650,seal,1127492,448174547,1340758450
650,seal,1133550,448917865,1338408678
650,seal,1132387,448010626,1339515119
700,seal,1128248,482838676,1443119409
700,seal,1130622,483050528,1443408582
700,seal,1132744,485782960,1446790695
700,seal,1137873,484970185,1444944519
700,seal,1133979,483334062,1443814996
700,seal,1136837,482827936,1444078627
700,seal,1128903,483519175,1445059555
700,seal,1132242,482819306,1443285467
700,seal,1130238,482519218,1444034949
700,seal,1128132,482816832,1444688354
750,seal,1137077,517862103,1547347520
750,seal,1135462,517866122,1548637737
750,seal,1134493,518031457,1547918730
750,seal,1136792,517280744,1547837230
750,seal,1131673,516807170,1547666955
750,seal,1134744,517623186,1547414361
750,seal,1131573,517170071,1548091816
750,seal,1137995,517226769,1546530874
750,seal,1126625,517061437,1546829477
750,seal,1128116,517289587,1544645562
800,seal,1134329,551782726,1650619562
800,seal,1127337,552085851,1654391207
800,seal,1138300,552008778,1652029206
800,seal,1130172,551818750,1650665190
800,seal,1132370,553070480,1651336483
800,seal,1128002,552259703,1650524183
800,seal,1135535,551667316,1655131111
800,seal,1131666,552732464,1650346095
800,seal,1133487,551815603,1649395622
800,seal,1132604,551326715,1651623916
850,seal,1126390,586471684,1755169933
850,seal,1131699,586611149,1752391018
850,seal,1131900,585741298,1751865322
850,seal,1128299,586134813,1751911047
850,seal,1130293,585386235,1752240839
850,seal,1135072,585039152,1752282812
850,seal,1133436,585082538,1753128285
850,seal,1130542,585411883,1752071909
850,seal,1126980,585151441,1752114085
850,seal,1133905,585510959,1751973288
