vectorLength,library,initialisation,euclidean,cosine
200,seal,1150684,138232807,411312534
200,helib,22507215,54591651,204401061
200,seal,1128029,137422491,411037681
200,helib,22380201,54563076,204725241
200,seal,1128821,137374872,411203285
200,helib,22406205,54588874,204639604
200,seal,1127315,137396906,411167641
200,helib,22438692,54565512,204575590
200,seal,1126678,137377007,411433326
200,helib,22420008,54546715,204256381
200,seal,1128356,137386399,411149965
200,helib,22408429,54432139,204004100
200,seal,1126827,137448316,411552960
200,helib,22400094,54394525,204107591
200,seal,1127834,137356787,411820935
200,helib,22371884,54441185,204108853
200,seal,1128836,137370460,410947549
200,helib,22360503,54462513,204231228
200,seal,1126454,137816700,411330820
200,helib,22404085,54583374,204797173
250,seal,1129037,171993775,513712209
250,helib,22378712,67942483,254458788
250,seal,1128120,171678033,513709186
250,helib,22397383,67886254,254702551
250,seal,1128974,171835482,514429914
250,helib,22400981,68010177,254857366
250,seal,1126703,171596213,513863987
250,helib,22438219,67774344,254256751
250,seal,1126316,171740660,514516224
250,helib,22418956,67958259,254931896
250,seal,1132549,171721008,513628072
250,helib,22435517,67866864,254646265
250,seal,1125223,171695884,514415143
250,helib,22409310,67799086,254377768
250,seal,1126919,171688336,513657351
250,helib,22398136,68159558,255175494
250,seal,1127029,171812093,513524771
250,helib,22445559,67824492,254479515
250,seal,1126591,172015952,513555644
250,helib,22464946,68693348,257295995
300,seal,1128621,205941705,616543291
300,helib,22429105,82753332,308889085
300,seal,1127646,206180558,617125929
300,helib,22387571,82342484,308903170
300,seal,1130557,205996872,619538401
300,helib,22445726,82243162,308781096
300,seal,1127879,206112893,616986762
300,helib,22461295,82302486,308175842
300,seal,1126833,205972508,616273276
300,helib,22372829,82386601,308262369
300,seal,1125140,205707564,615343697
300,helib,22386549,82053171,307338981
300,seal,1125913,205694765,616119771
300,helib,22341026,82079114,307675999
300,seal,1125190,206557591,618657169
300,helib,22453690,82605544,309537498
300,seal,1129764,207071148,618155911
300,helib,22451000,82667185,309562336
300,seal,1129605,205821934,615036431
300,helib,22328779,82069030,307868331
350,seal,1125942,239877517,717685644
350,helib,22321090,95462015,357796639
350,seal,1125666,239767711,717954868
350,helib,22369417,95325461,357664416
350,seal,1127491,239849797,717877559
350,helib,22312873,95654578,358753171
350,seal,1124877,240074264,718310097
350,helib,22401604,95425771,358418243
350,seal,1128445,239912973,718120562
350,helib,22399900,95520812,357784904
350,seal,1125318,240010272,717988911
350,helib,22361442,95659004,358074628
350,seal,1125332,240334482,718501565
350,helib,22330961,95608362,358652631
350,seal,1124919,239956798,718187398
350,helib,22399721,95690830,358491464
350,seal,1127613,239886124,718378380
350,helib,22369781,95424950,357463833
350,seal,1128027,240114837,718520193
350,helib,22360979,95654012,358291074
400,seal,1124307,274442530,821025293
400,helib,22390081,109403063,408408071
400,seal,1126675,274507989,821203403
400,helib,22392160,109150090,409357999
400,seal,1127871,274844900,821368102
400,helib,22380042,108983379,408592850
400,seal,1126825,274517484,821142430
400,helib,22393653,109380075,409590760
400,seal,1127470,274343165,820879801
400,helib,22388738,108709751,407560018
400,seal,1127843,277608584,820141188
400,helib,22427115,108918367,409297248
400,seal,1127147,274255867,821318602
400,helib,22329334,108537422,408330264
400,seal,1126056,274238258,821521693
400,helib,22369907,108737141,408599776
400,seal,1127344,274405378,820598149
400,helib,22355641,108831431,407754153
400,seal,1125691,274711305,821281624
400,helib,22331542,108743983,407172747
450,seal,1128012,308646685,923726248
450,helib,22448063,123032091,460044107
450,seal,1131383,308510629,923657833
450,helib,22322869,122263324,458470909
450,seal,1127039,308784129,922852723
450,helib,22365554,122391153,459076783
450,seal,1126857,308280818,922484982
450,helib,22325963,121922250,457755996
450,seal,1125971,308604696,922690037
450,helib,22331302,122108478,457842199
450,seal,1127444,308317414,923221901
450,helib,22346813,122196739,458131511
450,seal,1126309,308266202,923018569
450,helib,22333853,121963241,457908670
450,seal,1123971,308444422,922791798
450,helib,22357402,122246789,458854152
450,seal,1127145,308373849,922298198
450,helib,22351610,122229611,459163884
450,seal,1129571,308310411,923099708
450,helib,22340003,122132247,458027423
500,seal,1126031,342822787,1027626828
500,helib,22340188,135615185,510291857
500,seal,1127270,345842169,1025379749
500,helib,22328074,135284224,508113143
500,seal,1125835,342790641,1025012812
500,helib,22340913,135265997,507565592
500,seal,1124777,342602355,1025504635
500,helib,22376453,136342992,512053992
500,seal,1130777,344489083,1031160075
500,helib,22554051,136289697,511139585
500,seal,1134069,344999291,1034257974
500,helib,22515184,136450716,511409484
500,seal,1130623,344354997,1030996174
500,helib,22486466,136171140,511812291
500,seal,1128442,344965804,1030469807
500,helib,22486614,135980310,511012196
500,seal,1126288,347676137,1029033948
500,helib,22459361,136065506,510948909
500,seal,1134243,345142793,1031144086
500,helib,22472228,136512961,512198717
550,seal,1140066,379350223,1132994826
