vectorLength,library,initialisation,euclidean,cosine
17000,helib,2370646,426215635,1647827460
17000,helib,2299487,431837261,1649095968
17000,helib,2305125,430892677,1644814656
17000,helib,2302349,430440310,1645654368
17000,helib,2301667,435906374,1646128445
17000,helib,2302879,432026304,1647178555
17000,helib,2304419,432869826,1642795832
17000,helib,2305442,427626138,1652995638
17000,helib,2304968,429923338,1647139762
17000,helib,2301466,435112896,1646690121
18000,helib,2305220,448144686,1717309043
18000,helib,2305126,450049549,1726972967
18000,helib,2308970,448541860,1723315781
18000,helib,2302263,447926705,1734562117
18000,helib,2299437,447648341,1713038972
18000,helib,2306809,448125534,1731582154
18000,helib,2306983,447966966,1727492344
18000,helib,2302065,447177035,1727554665
18000,helib,2304587,448562716,1719186827
18000,helib,2303566,446901846,1731126126
19000,helib,2302170,471854038,1809561025
19000,helib,2302050,472088193,1813579142
19000,helib,2301110,472509393,1815594701
19000,helib,2302174,472207929,1817580718
19000,helib,2299681,472100712,1822081554
19000,helib,2308807,471217541,1828983843
19000,helib,2309241,471539232,1821073636
19000,helib,2299575,472262512,1819686485
19000,helib,2300284,472979323,1822348767
19000,helib,2300754,472414238,1820297158
20000,helib,2306408,499969577,1909006895
20000,helib,2300927,498730706,1915476206
20000,helib,2303511,498449402,1914558893
20000,helib,2304877,498103899,1912768559
20000,helib,2298979,498898286,1924038263
20000,helib,2298758,498779134,1909798451
20000,helib,2303521,496944763,1910972482
20000,helib,2302444,497435200,1909660751
20000,helib,2304669,498648932,1910778886
20000,helib,2303119,496616132,1920708325
