vectorLength,library,initialisation,euclidean,cosine
2,seal,84711,39837,105984
2,helib,2352831,69405,231084
2,seal,77697,36872,105197
2,helib,2327636,64201,227177
2,seal,77973,36347,105031
2,helib,2319497,64581,227642
2,seal,77741,36587,105198
2,helib,2321328,66071,226823
2,seal,78797,36789,105127
2,helib,2320323,64272,227258
2,seal,77483,35910,104647
2,helib,2318167,64403,227521
2,seal,79544,36826,105147
2,helib,2318949,64782,226783
2,seal,78204,36735,105140
2,helib,2315497,63191,226167
2,seal,78264,35967,105355
2,helib,2315156,64212,227824
2,seal,77436,36326,104702
2,helib,2317290,64244,225939
