vectorLength,library,initialisation,euclidean,cosine
17000,seal,85075,273171434,811186483
17000,seal,76155,270655506,811295603
17000,seal,76438,269973707,809969425
17000,seal,77005,269980212,813141990
17000,seal,76287,270667758,812741133
17000,seal,76125,269681929,812248904
17000,seal,76834,270539131,811055900
17000,seal,76354,270658674,814663113
17000,seal,76953,270221997,809510989
17000,seal,76340,270105174,807366191
18000,seal,76079,284624375,853303926
18000,seal,76963,284341476,854035794
18000,seal,76486,286638969,860649259
18000,seal,76549,286592598,859416190
18000,seal,76351,286753416,860447777
18000,seal,77203,286538942,860240002
18000,seal,77137,286576472,859994927
18000,seal,76668,285779494,858936022
18000,seal,77119,286053107,859952269
18000,seal,76679,286767737,860290873
19000,seal,76466,301734333,908180574
19000,seal,77162,301558188,907537807
19000,seal,76844,302748154,907869084
19000,seal,76960,302347481,908139172
19000,seal,76441,302551128,908334337
19000,seal,77094,302707314,907914327
19000,seal,76399,302919442,904988734
19000,seal,76945,301210705,904184712
19000,seal,76951,301467188,905386602
19000,seal,76907,302259737,906378609
20000,seal,76601,318034256,955636857
20000,seal,76979,318006808,950517045
20000,seal,77040,315957525,949713586
20000,seal,76437,316209415,949110443
20000,seal,76697,317406808,954830138
20000,seal,76435,317406123,952938723
20000,seal,77324,318879268,953371526
20000,seal,76555,317630314,953589656
20000,seal,75846,318412772,953996045
20000,seal,76851,317929782,955186368
21000,seal,76205,334769552,1003721658
21000,seal,76524,333806070,1005993422
21000,seal,76455,334750781,1001431963
21000,seal,76822,334172953,1003627317
21000,seal,76509,334630830,1001354752
21000,seal,76443,333416385,1002768208
