vectorLength,library,initialisation,euclidean,cosine
1000,seal,83016,16250031,47793434
1000,helib,2333756,23040180,84193314
1000,seal,77601,15960061,47754988
1000,helib,2307838,22865150,84154794
1000,seal,77793,15933482,47752832
1000,helib,2312670,22839531,84174530
1000,seal,77853,15908163,47730334
1000,helib,2306337,22881934,84296531
1000,seal,77200,15902184,48024039
1000,helib,2371016,22913677,84172666
1000,seal,77426,15887345,47742296
1000,helib,2303969,22911176,84257285
1000,seal,77682,15885897,47743264
1000,helib,2304573,22848545,84104577
1000,seal,77596,15893015,47746880
1000,helib,2310659,22884144,84043226
1000,seal,77179,15901414,47733991
1000,helib,2300615,22846036,84073405
1000,seal,77607,15896293,47729624
1000,helib,2302674,22885902,84084460
2000,seal,77503,31813390,95607893
2000,helib,2309434,46319523,170440150
2000,seal,76783,31882970,95620566
2000,helib,2305554,46080852,170692860
2000,seal,79860,31877907,95716001
2000,helib,2305499,46062952,170549720
2000,seal,77785,31796826,95439215
2000,helib,2301799,46114028,170591759
2000,seal,76564,31767602,95480496
2000,helib,2304513,46045534,170631523
2000,seal,77244,31759683,95494201
2000,helib,2303864,46020889,170470887
2000,seal,77530,31844588,95781609
2000,helib,2312211,46090022,170639400
2000,seal,76916,31786425,95494971
2000,helib,2303636,46015120,170581643
2000,seal,77228,31767508,95466927
2000,helib,2302660,46087724,170618059
2000,seal,76980,31799321,95430067
2000,helib,2303354,46100801,171074912
3000,seal,78535,47654387,143202107
3000,helib,2306052,70535926,260280864
3000,seal,80157,47710769,143184266
3000,helib,2315875,70298893,260091539
3000,seal,77550,47650085,142913876
3000,helib,2307503,70281165,260418133
3000,seal,77396,47624826,142953113
3000,helib,2303983,70218210,260033246
3000,seal,77705,47625769,142869128
3000,helib,2312970,70368911,259974261
3000,seal,80076,47721935,142818124
3000,helib,2307281,70203358,259741179
3000,seal,76694,47598661,142573078
3000,helib,2314963,70387831,260283765
3000,seal,78441,47447556,142644109
3000,helib,2304345,70248819,260625256
3000,seal,78367,47502335,142529047
3000,helib,2308474,70388098,260427290
3000,seal,77126,47441013,142539552
3000,helib,2307354,70071169,259582256
4000,seal,77707,63272842,190208050
4000,helib,2310329,93283844,346771882
4000,seal,81414,63268340,190091332
4000,helib,2307716,93091728,346740861
4000,seal,78548,63287567,190057376
4000,helib,2305958,93081286,346198468
4000,seal,76979,63261120,190673201
4000,helib,2305042,93099136,346180613
4000,seal,78573,63782177,190903145
4000,helib,2309448,93070156,346546249
4000,seal,77993,63834302,191328175
4000,helib,2304449,93055368,346959969
4000,seal,77654,63540080,190943855
4000,helib,2304767,93276959,347016117
4000,seal,77822,63797616,191314668
4000,helib,2305020,92949279,346988248
4000,seal,77966,63551529,190185044
4000,helib,2313230,93066579,346591624
4000,seal,77631,63285687,190067569
4000,helib,2310979,93082290,347259159
5000,seal,78677,79090010,237564189
5000,helib,2308400,119421764,444053027
5000,seal,77843,79091381,237521099
5000,helib,2308279,119068841,444331958
5000,seal,78835,79097121,237545796
5000,helib,2307982,119104429,444014881
5000,seal,76668,79326238,238262144
5000,helib,2312047,119288202,444416478
5000,seal,77108,79415631,237615529
5000,helib,2313830,119322824,444222584
5000,seal,116810,79059765,237800074
5000,helib,2307188,119281352,444056201
5000,seal,77736,79358900,238001417
5000,helib,2310669,119842381,446882077
5000,seal,78350,79062048,237526240
5000,helib,2309007,119211470,444393966
5000,seal,78995,79082383,237663394
5000,helib,2304521,118938988,444414374
5000,seal,78844,79049319,237447622
5000,helib,2353116,119306484,443955812
6000,seal,78770,94886499,285034573
6000,helib,2313674,142182423,531545862
6000,seal,76964,94871011,284974961
6000,helib,2308139,141720818,531123983
6000,seal,77819,94879586,285126339
6000,helib,2308666,141773125,531125826
6000,seal,77780,94953858,285061347
6000,helib,2305494,141700957,531693384
6000,seal,76641,94904431,285079879
6000,helib,2304371,141794335,531272854
6000,seal,77077,94934153,284977563
6000,helib,2305288,141662798,531428222
6000,seal,78449,95181486,285544084
6000,helib,2307697,141645171,531621758
6000,seal,77811,94910159,285043601
6000,helib,2350391,142222310,532358668
6000,seal,77059,94958608,285013293
6000,helib,2305760,141775177,531571588
6000,seal,77107,94866342,284991719
6000,helib,2307482,142011364,531219243
7000,seal,77783,110694358,332557953
7000,helib,2351067,165391164,620725898
7000,seal,77464,110675094,332525035
7000,helib,2304569,164745592,621684044
7000,seal,78445,111263549,333952338
7000,helib,2302353,164571880,620310020
7000,seal,78504,111252248,334500882
7000,helib,2305990,164838257,621275893
7000,seal,77143,111662697,334820020
7000,helib,2307647,164876697,620172719
7000,seal,77674,111551878,334792114
7000,helib,2305067,164467784,621385577
7000,seal,78548,111077954,333244262
7000,helib,2302344,164555949,619600989
7000,seal,79298,111542492,334828640
7000,helib,2309031,164759555,621564620
7000,seal,78242,111565072,334037411
7000,helib,2306661,164755801,620381742
7000,seal,78554,111193992,334014832
7000,helib,2305887,164840332,621688755
8000,seal,77430,127040049,381682712
8000,helib,2304950,188118113,711279292
8000,seal,77450,127070672,380036027
8000,helib,2310912,187696312,721243100
8000,seal,79313,126939024,380349593
8000,helib,2301616,187690603,709565993
8000,seal,77878,126599259,379998751
8000,helib,2305003,187753697,709518854
8000,seal,78616,126466188,380780149
8000,helib,2305959,187761258,709459978
8000,seal,77215,126938749,380908598
8000,helib,2304035,187709679,709226696
8000,seal,78186,127044334,381767557
8000,helib,2303750,187503499,711421336
8000,seal,78209,127122486,381694075
8000,helib,2306976,187664673,710471731
8000,seal,77419,127051402,381982858
8000,helib,2304262,187885847,710063295
8000,seal,78197,127295181,381916234
8000,helib,2304041,187782799,711250941
9000,seal,77212,143040130,430305628
9000,helib,2299948,218572831,823293162
9000,seal,77373,143473615,430368297
9000,helib,2305692,219366538,824222249
9000,seal,77448,143564616,430353692
9000,helib,2305995,218840528,821466372
9000,seal,77608,142949357,429697353
9000,helib,2303000,218352549,819694595
9000,seal,76965,143473845,430790039
9000,helib,2302855,218875525,824671109
9000,seal,77321,143529822,430692412
9000,helib,2301845,218928053,825046339
9000,seal,79618,142973738,430059191
9000,helib,2303398,217275169,821308716
9000,seal,79200,143328461,430409523
9000,helib,2308687,218012405,820439587
9000,seal,78512,143473188,430673176
9000,helib,2306484,218786929,821343221
9000,seal,78317,142379080,427610069
9000,helib,2304424,218496519,823326529
10000,seal,80421,158159330,475027636
10000,helib,2304982,243156012,912321170
10000,seal,78632,158226664,475151568
10000,helib,2314904,242079193,908596169
10000,seal,76406,158121374,474946481
10000,helib,2304287,243122183,909677789
10000,seal,78478,158134186,475055227
10000,helib,2311491,242140864,907000661
10000,seal,81456,158138826,475499806
10000,helib,2307429,242063758,909475500
10000,seal,77924,158105629,476008179
10000,helib,2334096,242639160,907688861
10000,seal,78014,158101954,474977464
10000,helib,2307459,243174215,905885070
10000,seal,76356,158208804,477947957
10000,helib,2304661,242236061,909996632
10000,seal,77640,159084824,477480053
10000,helib,2303605,242847846,908976121
10000,seal,76732,159642139,477446908
10000,helib,2300691,242632059,910169068
11000,seal,77844,174911141,525885092
11000,helib,2304566,264740159,1003237204
