vectorLength,library,initialisation,euclidean,cosine
2,seal,134440,31587,87222
2,helib,3124148,81724,293939
2,seal,72451,30556,86724
2,helib,3097613,79556,290865
2,seal,72999,30427,86687
2,helib,3096360,80306,293280
2,seal,72635,30520,86585
2,helib,3239669,85256,291645
2,seal,73007,30513,87398
2,helib,3149553,78479,299354
2,seal,71017,28875,85956
2,helib,3095135,79897,306585
2,seal,72619,30462,86812
2,helib,3094235,78104,306393
2,seal,70869,28841,85995
2,helib,3092118,79662,306009
2,seal,72579,30531,86576
2,helib,3092402,77901,305497
2,seal,70984,28871,85943
2,helib,3097393,77937,304922
