vectorLength,library,initialisation,euclidean,cosine
1000,seal,134030,13505998,39954145
1000,helib,3122169,31621899,115521639
1000,seal,73016,13384581,39674105
1000,helib,3118286,31864962,115749362
1000,seal,73064,13377831,39680167
1000,helib,3110097,31546598,115681092
1000,seal,73084,13361529,39767756
1000,helib,3110124,31580463,115671468
1000,seal,73219,13359095,39717491
1000,helib,3102733,31489957,115328695
1000,seal,73179,13360048,39713830
1000,helib,3107787,31509197,115279143
1000,seal,73098,13375058,39649577
1000,helib,3100523,31512041,115651291
1000,seal,72888,13354787,39679827
1000,helib,3110614,31500974,115208826
1000,seal,73021,13374307,39678524
1000,helib,3105092,31562845,115680073
1000,seal,73058,13387647,39682844
1000,helib,3108973,31554091,116061767
2000,seal,73072,26737869,79843610
2000,helib,3097321,63588653,233131569
2000,seal,73098,26740835,79532180
2000,helib,3099742,63444171,232446632
2000,seal,72979,26723633,79569999
2000,helib,3118742,63295268,232559829
2000,seal,73111,26726035,79533292
2000,helib,3116184,63384963,232238906
2000,seal,73026,26710685,79549946
2000,helib,3094293,63296651,232544372
2000,seal,73008,26723244,79547610
2000,helib,3098425,63372982,233067657
2000,seal,73120,26757324,79582063
2000,helib,3101425,63399035,232918880
2000,seal,73186,26827543,79477934
2000,helib,3098800,63554013,232595379
2000,seal,73055,26746720,79512506
2000,helib,3097003,63523322,232472380
2000,seal,73156,26816191,79488607
2000,helib,3107617,63305366,232536435
3000,seal,72991,40093501,119696758
3000,helib,3101693,96329911,353878559
3000,seal,73207,40174750,119478361
3000,helib,3112427,96394133,353287726
3000,seal,73085,40160872,119579486
3000,helib,3111627,96157762,353137233
3000,seal,72942,40156909,119627294
3000,helib,3104774,96181019,354180205
3000,seal,73016,40157523,119943589
3000,helib,3105254,96182317,353179619
3000,seal,73017,40157725,119512518
3000,helib,3105722,96323204,353204801
3000,seal,73131,40277170,119462165
3000,helib,3099454,96169152,353023024
3000,seal,73096,40497482,119913100
3000,helib,3111228,96261307,353216238
3000,seal,73060,40181726,119455275
3000,helib,3096029,96188911,353392540
3000,seal,73082,40299801,119464463
3000,helib,3100466,96280469,353533026
4000,seal,73188,53599917,159505382
